trace_id,span_id,service_name,db_system,db_statement,tables
af1c22110743431cba1d51f11620249b,e51d5794e6fe4021,inventory-service,sql,INSERT warehouse,
af1c22110743431cba1d51f11620249b,96a34737978a4695,inventory-service,sql,INSERT stock,
0dd61c841943465892396acf5d806d67,899a0096105c4de7,inventory-service,sql,SELECT inventory,
0dd61c841943465892396acf5d806d67,0fb9bdfb76bf46e5,inventory-service,sql,SELECT stock,
0dd61c841943465892396acf5d806d67,b8de407f406a41f6,inventory-service,sql,INSERT stock,
3ceaafb5247d4229b0130e1c22156554,c94a63e0978441d1,inventory-service,sql,UPDATE stock,stock
37924fc66c394514bbfaadc4e7c1f050,b553c24d68f646a8,inventory-service,sql,UPDATE inventory,inventory
37924fc66c394514bbfaadc4e7c1f050,112185ed56234559,inventory-service,sql,SELECT inventory,
a55ddf909f394fe0b3d13909992e2b9a,942c9af1bca446f1,inventory-service,sql,SELECT inventory,
a55ddf909f394fe0b3d13909992e2b9a,28ec7b832c1f456b,inventory-service,sql,INSERT warehouse,
6eeef793cafe4e01af4a965a8a2eb265,0608c98d4f544968,inventory-service,sql,UPDATE stock,stock
6eeef793cafe4e01af4a965a8a2eb265,f7b03d3e503d4ad6,inventory-service,sql,INSERT warehouse,
6eeef793cafe4e01af4a965a8a2eb265,5c8991817a564fa1,inventory-service,sql,SELECT stock,
ce0d6a36981c4b9da04d1ad1165c737f,f5ccdc54539b4e77,inventory-service,sql,INSERT inventory,
ce0d6a36981c4b9da04d1ad1165c737f,146424f8250646ce,inventory-service,sql,INSERT inventory,
ce0d6a36981c4b9da04d1ad1165c737f,dcbfb914dc814d7e,inventory-service,sql,UPDATE stock,stock
c728d269531b4807a45f8e8f1a44e234,62191bcff6fd4e71,inventory-service,sql,SELECT warehouse,
6262cf4825ef4fffbc2fdf03cb309c36,29cada9b8cf9435f,inventory-service,sql,UPDATE inventory,inventory
6262cf4825ef4fffbc2fdf03cb309c36,41f294560c3a48d4,inventory-service,sql,SELECT stock,
6262cf4825ef4fffbc2fdf03cb309c36,74898f97ed51484e,inventory-service,sql,INSERT warehouse,
1e47277434de488d91f8297b095b48a3,4210700d9b3e4f6b,inventory-service,sql,UPDATE inventory,inventory
1e47277434de488d91f8297b095b48a3,c2672a8426cc4144,inventory-service,sql,INSERT stock,
1e47277434de488d91f8297b095b48a3,abf2beab2810474d,inventory-service,sql,UPDATE inventory,inventory
120686d89f274a81a593956bef1fdcde,295b01d6f0c84df6,inventory-service,sql,INSERT inventory,
120686d89f274a81a593956bef1fdcde,bd5f3dedb4ab4d5e,inventory-service,sql,SELECT warehouse,
120686d89f274a81a593956bef1fdcde,be8d00ec26e54a45,inventory-service,sql,INSERT warehouse,
297977df2a7e4a7c89d5ae8a1cf05e67,29b098e5c9d54a4f,inventory-service,sql,SELECT warehouse,
297977df2a7e4a7c89d5ae8a1cf05e67,0b83b60a008e4234,inventory-service,sql,UPDATE stock,stock
a8ee8fd05b5844148909bf455484249a,1ca5a6b3d215406e,inventory-service,sql,UPDATE inventory,inventory
a8ee8fd05b5844148909bf455484249a,a9c12cec209f4d64,inventory-service,sql,SELECT inventory,
9c8aca7ab3894e33a19e3123539ad085,04f9f542a5184718,inventory-service,sql,INSERT warehouse,
9c8aca7ab3894e33a19e3123539ad085,77bdb42e7922422a,inventory-service,sql,SELECT warehouse,
9c8aca7ab3894e33a19e3123539ad085,f4ab22393ff24e65,inventory-service,sql,INSERT warehouse,
1bff53f3ec664669944481151ff15ba2,aebccbb3cf1b45bc,inventory-service,sql,INSERT stock,
1bff53f3ec664669944481151ff15ba2,ea4a24cc2d8548ff,inventory-service,sql,UPDATE warehouse,warehouse
835f79ebe5bf441687b9dcd0a3fe9a4d,86f07da7b1824ece,notification-service,sql,UPDATE logs,logs
835f79ebe5bf441687b9dcd0a3fe9a4d,fc5f803df55347ba,notification-service,sql,UPDATE logs,logs
59026886892249168a39f31136bd088b,98579ff59070474e,notification-service,sql,SELECT logs,
59026886892249168a39f31136bd088b,90c8defd87d245ff,notification-service,sql,SELECT logs,
506a88d5b3bd4b61895809acd4074d3b,336270ca3c0749c8,notification-service,sql,SELECT notifications,
3ca602212dce44bfaf1a287b76a8c2a9,c88c3840754a4a89,notification-service,sql,SELECT logs,
3ca602212dce44bfaf1a287b76a8c2a9,cc0a8adc63924f6c,notification-service,sql,UPDATE logs,logs
cb8011627daa420f9b3b30dad50fed65,0af53efbc1884939,notification-service,sql,UPDATE logs,logs
cb8011627daa420f9b3b30dad50fed65,741ffde245f84762,notification-service,sql,SELECT logs,
8c7dd8c488d94276b5800ed81ecb8cd4,ddc2267bf889488e,notification-service,sql,SELECT notifications,
8c7dd8c488d94276b5800ed81ecb8cd4,3e6d03f8a7ca4822,notification-service,sql,INSERT notifications,
9761407cf3e64337ab355981d2da97da,0551711c46c94b90,notification-service,sql,INSERT logs,
9761407cf3e64337ab355981d2da97da,7721a272fa2247d0,notification-service,sql,UPDATE notifications,notifications
f4921b76726b4ccdafb6b8df0b3dbc9f,69e36d90112f4abe,notification-service,sql,SELECT logs,
3c2582c339c9443f9d03820d75fb14b7,f77fe07ebc844a32,notification-service,sql,UPDATE notifications,notifications
3c2582c339c9443f9d03820d75fb14b7,72b044b922bc4b16,notification-service,sql,INSERT logs,
3c2582c339c9443f9d03820d75fb14b7,42100d6b5c9e47a2,notification-service,sql,UPDATE notifications,notifications
35686f428c7845f1a4fd65dfeb0a1ec2,33f159fa28a242d3,notification-service,sql,SELECT notifications,
db289e957acc4cc38dad1ce9572418b7,05345643caf549af,notification-service,sql,INSERT notifications,
db289e957acc4cc38dad1ce9572418b7,9fd7a176525e489e,notification-service,sql,UPDATE notifications,notifications
db289e957acc4cc38dad1ce9572418b7,cea8dac62e0a4b94,notification-service,sql,INSERT notifications,
dbc16aba9000417c8e829643a5948ec0,bde975d1da1c4df5,notification-service,sql,INSERT notifications,
dbc16aba9000417c8e829643a5948ec0,0274387f8e4b4571,notification-service,sql,SELECT notifications,
dbc16aba9000417c8e829643a5948ec0,1209f34319d244dc,notification-service,sql,INSERT notifications,
930379b9b33548559da35242512f2028,526aa5a26b564c09,notification-service,sql,UPDATE notifications,notifications
930379b9b33548559da35242512f2028,738ab375fe654e83,notification-service,sql,UPDATE logs,logs
801b1e5652aa48c6b2e57f66f3a0924b,d762aa6d003e4ab4,notification-service,sql,INSERT logs,
801b1e5652aa48c6b2e57f66f3a0924b,894b326fd0834468,notification-service,sql,SELECT notifications,
7a84f22a897241c1aa0dde5ed62efd97,857d32e0bfa640e8,notification-service,sql,INSERT notifications,
7a84f22a897241c1aa0dde5ed62efd97,4472647a179545e0,notification-service,sql,UPDATE logs,logs
7a84f22a897241c1aa0dde5ed62efd97,884850c9a68048fa,notification-service,sql,SELECT notifications,
d06612c0c92a432da34cf621d99c418e,0f0d7144e5a74c04,order-service,sql,SELECT payments,
d06612c0c92a432da34cf621d99c418e,db0bda77c5d24c33,order-service,sql,UPDATE payments,payments
d06612c0c92a432da34cf621d99c418e,db851debee5e4466,order-service,sql,SELECT orders,
047543a210ac4e138808592d62f9b745,2be275aaa07646c8,order-service,sql,SELECT products,
047543a210ac4e138808592d62f9b745,9b29ad97339e4cd9,order-service,sql,UPDATE products,products
038309c92bb14e09b116af86e06cef77,a1a653abe3b94d05,order-service,sql,UPDATE products,products
038309c92bb14e09b116af86e06cef77,e8c8fccf5c2240f0,order-service,sql,UPDATE orders,orders
038309c92bb14e09b116af86e06cef77,a42e2312bee348d5,order-service,sql,INSERT products,
06c968eb462f4e1690c8671345bb3516,e98e5d5a08a14bd2,order-service,sql,UPDATE orders,orders
06c968eb462f4e1690c8671345bb3516,a6382147a4744e65,order-service,sql,SELECT orders,
06c968eb462f4e1690c8671345bb3516,390e0aae18374bff,order-service,sql,SELECT products,
878b3b0a15274789b6af830da612c2ce,36fae24b480649a6,order-service,sql,INSERT products,
878b3b0a15274789b6af830da612c2ce,70f17c43de7c4b45,order-service,sql,SELECT payments,
878b3b0a15274789b6af830da612c2ce,83608b2e24cc44f2,order-service,sql,UPDATE orders,orders
