trace_id,span_id,service_name,db_system,db_statement,tables
af1c22110743431cba1d51f11620249b,e51d5794e6fe4021,inventory-service,mysql,"INSERT INTO warehouse (col1, col2) VALUES (?, ?)",warehouse
af1c22110743431cba1d51f11620249b,96a34737978a4695,inventory-service,mysql,"INSERT INTO stock (col1, col2) VALUES (?, ?)",stock
0dd61c841943465892396acf5d806d67,899a0096105c4de7,inventory-service,mysql,SELECT * FROM inventory WHERE id = ?,inventory
0dd61c841943465892396acf5d806d67,0fb9bdfb76bf46e5,inventory-service,mysql,SELECT * FROM stock WHERE id = ?,stock
0dd61c841943465892396acf5d806d67,b8de407f406a41f6,inventory-service,mysql,"INSERT INTO stock (col1, col2) VALUES (?, ?)",stock
3ceaafb5247d4229b0130e1c22156554,c94a63e0978441d1,inventory-service,mysql,UPDATE stock SET col1 = ? WHERE id = ?,stock
37924fc66c394514bbfaadc4e7c1f050,b553c24d68f646a8,inventory-service,mysql,UPDATE inventory SET col1 = ? WHERE id = ?,inventory
37924fc66c394514bbfaadc4e7c1f050,112185ed56234559,inventory-service,mysql,SELECT * FROM inventory WHERE id = ?,inventory
a55ddf909f394fe0b3d13909992e2b9a,942c9af1bca446f1,inventory-service,mysql,SELECT * FROM inventory WHERE id = ?,inventory
a55ddf909f394fe0b3d13909992e2b9a,28ec7b832c1f456b,inventory-service,mysql,"INSERT INTO warehouse (col1, col2) VALUES (?, ?)",warehouse
6eeef793cafe4e01af4a965a8a2eb265,0608c98d4f544968,inventory-service,mysql,UPDATE stock SET col1 = ? WHERE id = ?,stock
6eeef793cafe4e01af4a965a8a2eb265,f7b03d3e503d4ad6,inventory-service,mysql,"INSERT INTO warehouse (col1, col2) VALUES (?, ?)",warehouse
6eeef793cafe4e01af4a965a8a2eb265,5c8991817a564fa1,inventory-service,mysql,SELECT * FROM stock WHERE id = ?,stock
ce0d6a36981c4b9da04d1ad1165c737f,f5ccdc54539b4e77,inventory-service,mysql,"INSERT INTO inventory (col1, col2) VALUES (?, ?)",inventory
ce0d6a36981c4b9da04d1ad1165c737f,146424f8250646ce,inventory-service,mysql,"INSERT INTO inventory (col1, col2) VALUES (?, ?)",inventory
ce0d6a36981c4b9da04d1ad1165c737f,dcbfb914dc814d7e,inventory-service,mysql,UPDATE stock SET col1 = ? WHERE id = ?,stock
c728d269531b4807a45f8e8f1a44e234,62191bcff6fd4e71,inventory-service,mysql,SELECT * FROM warehouse WHERE id = ?,warehouse
6262cf4825ef4fffbc2fdf03cb309c36,29cada9b8cf9435f,inventory-service,mysql,UPDATE inventory SET col1 = ? WHERE id = ?,inventory
6262cf4825ef4fffbc2fdf03cb309c36,41f294560c3a48d4,inventory-service,mysql,SELECT * FROM stock WHERE id = ?,stock
6262cf4825ef4fffbc2fdf03cb309c36,74898f97ed51484e,inventory-service,mysql,"INSERT INTO warehouse (col1, col2) VALUES (?, ?)",warehouse
1e47277434de488d91f8297b095b48a3,4210700d9b3e4f6b,inventory-service,mysql,UPDATE inventory SET col1 = ? WHERE id = ?,inventory
1e47277434de488d91f8297b095b48a3,c2672a8426cc4144,inventory-service,mysql,"INSERT INTO stock (col1, col2) VALUES (?, ?)",stock
1e47277434de488d91f8297b095b48a3,abf2beab2810474d,inventory-service,mysql,UPDATE inventory SET col1 = ? WHERE id = ?,inventory
120686d89f274a81a593956bef1fdcde,295b01d6f0c84df6,inventory-service,mysql,"INSERT INTO inventory (col1, col2) VALUES (?, ?)",inventory
120686d89f274a81a593956bef1fdcde,bd5f3dedb4ab4d5e,inventory-service,mysql,SELECT * FROM warehouse WHERE id = ?,warehouse
120686d89f274a81a593956bef1fdcde,be8d00ec26e54a45,inventory-service,mysql,"INSERT INTO warehouse (col1, col2) VALUES (?, ?)",warehouse
297977df2a7e4a7c89d5ae8a1cf05e67,29b098e5c9d54a4f,inventory-service,mysql,SELECT * FROM warehouse WHERE id = ?,warehouse
297977df2a7e4a7c89d5ae8a1cf05e67,0b83b60a008e4234,inventory-service,mysql,UPDATE stock SET col1 = ? WHERE id = ?,stock
a8ee8fd05b5844148909bf455484249a,1ca5a6b3d215406e,inventory-service,mysql,UPDATE inventory SET col1 = ? WHERE id = ?,inventory
a8ee8fd05b5844148909bf455484249a,a9c12cec209f4d64,inventory-service,mysql,SELECT * FROM inventory WHERE id = ?,inventory
9c8aca7ab3894e33a19e3123539ad085,04f9f542a5184718,inventory-service,mysql,"INSERT INTO warehouse (col1, col2) VALUES (?, ?)",warehouse
9c8aca7ab3894e33a19e3123539ad085,77bdb42e7922422a,inventory-service,mysql,SELECT * FROM warehouse WHERE id = ?,warehouse
9c8aca7ab3894e33a19e3123539ad085,f4ab22393ff24e65,inventory-service,mysql,"INSERT INTO warehouse (col1, col2) VALUES (?, ?)",warehouse
1bff53f3ec664669944481151ff15ba2,aebccbb3cf1b45bc,inventory-service,mysql,"INSERT INTO stock (col1, col2) VALUES (?, ?)",stock
1bff53f3ec664669944481151ff15ba2,ea4a24cc2d8548ff,inventory-service,mysql,UPDATE warehouse SET col1 = ? WHERE id = ?,warehouse
835f79ebe5bf441687b9dcd0a3fe9a4d,86f07da7b1824ece,notification-service,mysql,UPDATE logs SET col1 = ? WHERE id = ?,logs
